MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
270,ASSUNÇÃO DO PIAUÍ,PI,1/1/1997,
271,PAUINI,AM,1/1/1980,
272,BARRA D'ALCÂNTARA,PI,1/1/1997,
273,SANTO ANTÔNIO DO IÇÁ,AM,1/1/1980,
274,BELA VISTA DO PIAUÍ,PI,1/1/1997,
275,SÃO PAULO DE OLIVENÇA,AM,1/1/1980,
276,BELÉM DO PIAUÍ,PI,1/1/1997,
277,SILVES,AM,1/1/1980,
278,BETÂNIA DO PIAUÍ,PI,1/1/1997,
279,TAPAUÁ,AM,1/1/1980,
280,BOA HORA,PI,1/1/1997,
281,TEFÉ,AM,1/1/1980,
282,BOQUEIRÃO DO PIAUÍ,PI,1/1/1997,
283,SÃO GABRIEL DA CACHOEIRA,AM,1/1/1980,
284,BREJO DO PIAUÍ,PI,1/1/1997,
285,URUCARÁ,AM,1/1/1980,
286,CAJAZEIRAS DO PIAUÍ,PI,1/1/1997,
287,URUCURITUBA,AM,1/1/1980,
288,CAJUEIRO DA PRAIA,PI,1/1/1997,
289,ALVARÃES,AM,2/7/1985,
290,CAMPO ALEGRE DO FIDALGO,PI,1/1/1997,
291,AMATURÁ,AM,2/7/1985,
292,CAMPO GRANDE DO PIAUÍ,PI,1/1/1997,
293,ANAMÃ,AM,2/7/1985,
294,CAMPO LARGO DO PIAUÍ,PI,1/1/1997,
295,BERURI,AM,2/7/1985,
296,CAPITÃO GERVÁSIO OLIVEIRA,PI,1/1/1997,
297,BOA VISTA DO RAMOS,AM,2/7/1985,
298,CARAÚBAS DO PIAUÍ,PI,1/1/1997,
299,CAAPIRANGA,AM,2/7/1985,
300,CARIDADE DO PIAUÍ,PI,1/1/1997,
301,BOA VISTA,RR,1/1/1980,
302,CAXINGÓ,PI,1/1/1997,
303,CARACARAÍ,RR,1/1/1980,
304,COCAL DE TELHA,PI,1/1/1997,
305,ALTO ALEGRE,RR,13/7/1982,
306,COCAL DOS ALVES,PI,1/1/1997,
307,BONFIM,RR,13/7/1982,
308,CURRAIS,PI,1/1/1997,
309,MUCAJAÍ,RR,13/7/1982,
310,CURRALINHOS,PI,1/1/1997,
311,NORMANDIA,RR,13/7/1982,
312,CURRAL NOVO DO PIAUÍ,PI,1/1/1997,
313,SÃO JOÃO DA BALIZA,RR,13/7/1982,
314,FLORESTA DO PIAUÍ,PI,1/1/1997,
315,SÃO LUIZ,RR,13/7/1982,
316,FRANCISCO MACEDO,PI,1/1/1997,
317,MATEIROS,TO,1/1/1989,
318,GEMINIANO,PI,1/1/1997,
320,GUARIBAS,PI,1/1/1997,
321,NOVO JARDIM,TO,4/1/1993,
322,ILHA GRANDE,PI,1/1/1997,
323,RIO DA CONCEIÇÃO,TO,1/1/1989,
324,JATOBÁ DO PIAUÍ,PI,1/1/1997,
325,TAIPAS DO TOCANTINS,TO,1/1/1989,
326,JOÃO COSTA,PI,1/1/1997,
327,CARIRI DO TOCANTINS,TO,1/1/1989,
328,JOCA MARQUES,PI,1/1/1997,
329,JAÚ DO TOCANTINS,TO,4/1/1993,
330,JUAZEIRO DO PIAUÍ,PI,1/1/1997,
331,SANDOLÂNDIA,TO,4/1/1993,
332,JÚLIO BORGES,PI,1/1/1997,
333,SÃO SALVADOR DO TOCANTINS,TO,10/5/1990,
334,JUREMA,PI,1/1/1997,
335,SUCUPIRA,TO,4/1/1993,
336,LAGOINHA DO PIAUÍ,PI,1/1/1997,
337,ABREULÂNDIA,TO,1/1/1989,
338,LAGOA DE SÃO FRANCISCO,PI,1/1/1997,
339,BRASILÂNDIA DO TOCANTINS,TO,4/1/1993,
340,LAGOA DO PIAUÍ,PI,1/1/1997,
341,BOM JESUS DO TOCANTINS,TO,1/1/1989,
342,LAGOA DO SÍTIO,PI,1/1/1997,
343,CENTENÁRIO,TO,4/1/1993,
344,MADEIRO,PI,1/1/1997,
345,FORTALEZA DO TABOCÃO,TO,4/1/1993,
346,MASSAPÊ DO PIAUÍ,PI,1/1/1997,
347,ITAPIRATINS,TO,4/1/1993,
348,MILTON BRANDÃO,PI,1/1/1997,
349,JUARINA,TO,4/1/1993,
350,MORRO CABEÇA NO TEMPO,PI,1/1/1997,
351,LAJEADO,TO,4/1/1993,
