ibge_code,name,uf,tom_code,created_at,extinguished_at
3507209,Borá,SP,6243,1980-01-01,
3507308,Boracéia,SP,6245,1980-01-01,
3507407,Borborema,SP,6247,1980-01-01,
3507506,Botucatu,SP,6249,1980-01-01,
3507605,Bragança Paulista,SP,6251,1980-01-01,
3507704,Braúna,SP,6255,1980-01-01,
3507803,Brodowski,SP,6257,1980-01-01,
3507902,Brotas,SP,6259,1980-01-01,
3508009,Buri,SP,6261,1980-01-01,
3508108,Buritama,SP,6263,1980-01-01,
3508207,Buritizal,SP,6265,1980-01-01,
3508306,Cabrália Paulista,SP,6267,1980-01-01,
3508405,Cabreúva,SP,6269,1980-01-01,
3508504,Caçapava,SP,6271,1980-01-01,
3508603,Cachoeira Paulista,SP,6273,1980-01-01,
3508702,Caconde,SP,6275,1980-01-01,
3508801,Cafelândia,SP,6277,1980-01-01,
3508900,Caiabu,SP,6279,1980-01-01,
3509007,Caieiras,SP,6281,1980-01-01,
3509106,Caiuá,SP,6283,1980-01-01,
3509205,Cajamar,SP,6285,1980-01-01,
3509304,Cajobi,SP,6287,1980-01-01,
3509403,Cajuru,SP,6289,1980-01-01,
3509502,Campinas,SP,6291,1980-01-01,
3509601,Campo Limpo Paulista,SP,6293,1980-01-01,
3509700,Campos do Jordão,SP,6295,1980-01-01,
3509809,Campos Novos Paulista,SP,6297,1980-01-01,
3509908,Cananéia,SP,6299,1980-01-01,
3510005,Cândido Mota,SP,6301,1980-01-01,
3510104,Cândido Rodrigues,SP,6303,1980-01-01,
3510203,Capão Bonito,SP,6305,1980-01-01,
3510302,Capela do Alto,SP,6307,1980-01-01,
3510401,Capivari,SP,6309,1980-01-01,
3510500,Caraguatatuba,SP,6311,1980-01-01,
3510609,Carapicuíba,SP,6313,1980-01-01,
3510708,Cardoso,SP,6315,1980-01-01,
3510807,Casa Branca,SP,6317,1980-01-01,
3510906,Cássia dos Coqueiros,SP,6319,1980-01-01,
3511003,Castilho,SP,6321,1980-01-01,
3511102,Catanduva,SP,6323,1980-01-01,
3511201,Catiguá,SP,6325,1980-01-01,
3511300,Cedral,SP,6327,1980-01-01,
3511409,Cerqueira César,SP,6329,1980-01-01,
3511508,Cerquilho,SP,6331,1980-01-01,
3511607,Cesário Lange,SP,6333,1980-01-01,
3511706,Charqueada,SP,6335,1980-01-01,
3557204,Chavantes,SP,6337,1980-01-01,
3511904,Clementina,SP,6339,1980-01-01,
3512001,Colina,SP,6341,1980-01-01,
3512100,Colômbia,SP,6343,1980-01-01,
3512209,Conchal,SP,6345,1980-01-01,
3512308,Conchas,SP,6347,1980-01-01,
3512407,Cordeirópolis,SP,6349,1980-01-01,
3512506,Coroados,SP,6351,1980-01-01,
3512605,Coronel Macedo,SP,6353,1980-01-01,
3512704,Corumbataí,SP,6355,1980-01-01,
3512803,Cosmópolis,SP,6357,1980-01-01,
3512902,Cosmorama,SP,6359,1980-01-01,
3513009,Cotia,SP,6361,1980-01-01,
3513108,Cravinhos,SP,6363,1980-01-01,
3513207,Cristais Paulista,SP,6365,1980-01-01,
3513306,Cruzália,SP,6367,1980-01-01,
3513405,Cruzeiro,SP,6369,1980-01-01,
3513504,Cubatão,SP,6371,1980-01-01,
3513603,Cunha,SP,6373,1980-01-01,
3525508,Joanópolis,SP,6611,1980-01-01,
3525607,João Ramalho,SP,6613,1980-01-01,
3525706,José Bonifácio,SP,6615,1980-01-01,
3525805,Júlio Mesquita,SP,6617,1980-01-01,
3525904,Jundiaí,SP,6619,1980-01-01,
3526001,Junqueirópolis,SP,6621,1980-01-01,
3526100,Juquiá,SP,6623,1980-01-01,
3526209,Juquitiba,SP,6625,1980-01-01,
3526308,Lagoinha,SP,6627,1980-01-01,
3526407,Laranjal Paulista,SP,6629,1980-01-01,
3526506,Lavínia,SP,6631,1980-01-01,
3526605,Lavrinhas,SP,6633,1980-01-01,
3526704,Leme,SP,6635,1980-01-01,
3526803,Lençóis Paulista,SP,6637,1980-01-01,
3526902,Limeira,SP,6639,1980-01-01,
3527009,Lindóia,SP,6641,1980-01-01,
3527108,Lins,SP,6643,1980-01-01,
3527207,Lorena,SP,6645,1980-01-01,
3527306,Louveira,SP,6647,1980-01-01,
3527405,Lucélia,SP,6649,1980-01-01,
3527504,Lucianópolis,SP,6651,1980-01-01,
3527603,Luís Antônio,SP,6653,1980-01-01,
3527702,Luiziânia,SP,6655,1980-01-01,
3527801,Lupércio,SP,6657,1980-01-01,
3527900,Lutécia,SP,6659,1980-01-01,
3528007,Macatuba,SP,6661,1980-01-01,
3528106,Macaubal,SP,6663,1980-01-01,
3528205,Macedônia,SP,6665,1980-01-01,
3528304,Magda,SP,6667,1980-01-01,
3528403,Mairinque,SP,6669,1980-01-01,
3528502,Mairiporã,SP,6671,1980-01-01,
